	totalbp	genome_number	ags
11B-T1-3	7989357077	1533.94792921394	5.20836263398726
11B-T1-6	9849637858	1762.09635590702	5.58972715934709
11B-T1-9	6762898644	1135.63164546842	5.9551868521685
8-T1-3	7155935227	1283.05818982352	5.57724917213948
8-T1-6	5756532775	986.436340263656	5.83568603470284
8-T1-9	10329643290	1762.96935382875	5.8592302058833
Ex45-T1-3	5863471586	959.835830481207	6.1088275721697
Ex45-T1-6	6821520029	1096.70160252083	6.22003288161554
Ex45-T1-9	7456893695	1239.01272186014	6.01841576235386
HP-T1-3	8113452272	1606.49475995744	5.05040693205558
HP-T1-6	9278790394	1857.20627106812	4.99610115394645
HP-T1-9	7732343920	1630.45014134818	4.74245959683645
RC-T1-3	7796236281	1332.98501289437	5.84870512840326
RC-T1-6	6362286058	1024.04504840779	6.21289665712677
RC-T1-9	8621864716	1349.8352157064	6.38734611134587
RP-T1-3	14193463005	2868.07488835602	4.94877698717822
RP-T1-6	9734611991	2181.38162382206	4.46259007809175
RP-T1-9	7037396188	1456.20140342329	4.83270801103215
SC-T1-3	8731930600	1580.3371315392	5.52535938423176
SC-T1-6	8086641096	1337.16118514208	6.04761878063394
SC-T1-9	7261543153	1234.73871172434	5.88103627435404
UAB-T1-3	6146812137	1054.48935862014	5.82918365818643
UAB-T1-6	13899710545	2458.28586737293	5.65422871663582
UAB-T1-9	8283658947	1466.11096763161	5.65009002039022
