	cubhe	consistencyhe	cpb	filter_seq	d	lower_ci	higher_ci	rb_num
11B-T1-3	0.553653257708187	NA	NA	71104	7.25940644853528	5.65886575906604	9.39771934304185	5780
11B-T1-6	0.541282531597624	NA	NA	81851	8.1226196513476	6.22960307706343	10.701015016211	6548
11B-T1-9	0.573188997375873	NA	NA	53603	6.10083675778032	4.86807731655674	7.70289703735915	3532
8-T1-3	0.53224822116641	NA	NA	46964	8.82728799487031	6.68547052057762	11.7885595708643	4116
8-T1-6	0.568443098283827	NA	NA	25986	6.36156198126967	5.048785420897	8.07853401596581	2171
8-T1-9	0.581083124841649	NA	NA	80461	5.69370774183092	4.58235532680693	7.12343596372596	6109
Ex45-T1-3	0.541339771895969	NA	NA	33336	8.11836446372662	6.22682406363401	10.6945107713493	2570
Ex45-T1-6	0.574960096913715	NA	NA	51544	6.00667958138603	4.80239153552879	7.56810332239896	3279
Ex45-T1-9	0.625849902632997	NA	NA	54744	3.89608976438707	3.25792133071753	4.68094669496134	3825
HP-T1-3	0.562519230701457	NA	NA	89056	6.70503571599654	5.28432386059025	8.5786039848945	6254
HP-T1-6	0.575911602318572	NA	NA	117332	5.95678010875764	4.76748657268738	7.49685661720132	8181
HP-T1-9	0.532662906664203	NA	NA	131707	8.79345389578057	6.66377341746972	11.7358764675469	7723
RC-T1-3	0.568270977073913	NA	NA	67262	6.37125407238324	5.0554704260235	8.09256446316387	4334
RC-T1-6	0.568151512401311	NA	NA	37688	6.3779909994414	5.0601157920859	8.10231974715348	2390
RC-T1-9	0.604900219149698	NA	NA	56163	4.64126307453031	3.8209464542462	5.66878988878172	3483
RP-T1-3	0.57988516359742	NA	NA	259839	5.75344662286139	4.62456211111739	7.20790557512813	14012
RP-T1-6	0.555068643712307	NA	NA	216142	7.1674947006148	5.59722538906938	9.26091777781285	10783
RP-T1-9	0.543318076753236	NA	NA	103441	7.97285102068785	6.13159331825199	10.4725523890626	6383
SC-T1-3	0.567969992088258	NA	NA	99359	6.38824297659345	5.06718279810916	8.1171693147953	6180
SC-T1-6	0.594614301311927	NA	NA	78469	5.06587367607843	4.13242808512255	6.24779150539545	4238
SC-T1-9	0.595135764468861	NA	NA	84549	5.04330912766035	4.11602928202058	6.21674569044499	4226
UAB-T1-3	0.543548516873257	NA	NA	39564	7.9560954975418	6.1206028625652	10.4470527510917	3121
UAB-T1-6	0.536154604139665	NA	NA	171319	8.51436364053202	6.48407737332381	11.3030779395695	10015
UAB-T1-9	0.526987564297195	NA	NA	72204	9.26966199409146	6.96747494664199	12.4815788465553	5155
