KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K00003	3369	3208	2153	2509	1665	2604	2203	2127	1396	3928	4916	6252	2452	2070	1761	8301	7921	4924	3572	1915	1652	2215	6878	3390
K00004	141	163	136	134	35	92	277	205	70	126	108	304	1	1	5	1157	447	307	503	179	169	131	404	157
K00005	18	31	12	18	10	26	39	38	46	179	104	120	0	2	2	1267	378	257	54	64	65	38	56	15
K00008	512	421	192	360	173	172	303	232	124	564	145	262	85	58	23	1039	811	410	600	177	170	463	1261	789
K00009	118	68	17	76	14	32	151	94	127	435	281	447	73	27	6	1616	534	620	107	316	413	129	431	204
K00010	1760	2023	823	1945	400	804	1863	1345	904	2217	1467	2126	425	424	332	8304	4394	2847	1887	1232	1454	1896	6228	3592
K00012	3807	3629	2159	3065	1819	3540	2413	2508	1999	6330	6023	7391	2728	1997	1764	17072	10871	6952	4798	2974	2760	2854	7508	3877
K00013	1335	879	354	729	390	573	877	728	763	2365	2627	3258	677	376	383	7738	4432	3123	1827	795	939	740	1986	1145
K00014	1431	1269	756	997	512	1085	1088	970	797	2622	2576	3395	1054	854	697	8622	5059	3421	2233	1185	1319	970	3430	1635
K00015	465	277	133	316	181	363	370	442	327	721	970	636	113	449	236	3704	914	927	608	585	903	272	751	365
K00016	144	38	47	29	26	129	41	73	68	57	403	169	48	41	16	1439	1367	747	82	235	122	84	78	48
K00018	36	108	52	62	26	285	66	124	73	33	52	53	28	50	84	266	72	75	70	218	85	58	195	90
K00019	1071	768	465	605	192	433	710	595	546	1288	879	1158	347	317	280	3456	2728	1595	844	714	879	635	1682	790
K00020	1142	1087	555	1183	566	955	1195	1269	943	2184	1893	2789	1056	991	1185	7512	2494	1972	2238	1881	2294	1106	2795	1153
K00021	983	907	891	775	406	932	672	530	354	574	898	976	710	269	438	2735	3271	1906	1067	559	467	593	1193	613
K00023	752	560	346	517	182	465	451	470	308	385	471	477	301	218	266	895	883	493	496	444	445	373	1399	734
K00024	2307	2346	1662	2166	1275	2188	1833	1656	1646	3129	3610	3624	1595	1396	1375	10482	6273	4143	3303	2203	2375	1785	4616	2369
K00027	2006	2130	1208	2278	858	1698	1837	1670	1505	5051	2802	4229	1464	1233	793	10296	7932	5372	3143	1428	1594	1912	5118	2849
K00029	1242	857	483	746	456	685	972	819	506	923	788	859	628	633	682	3231	2586	1500	913	1193	1042	630	2150	1061
K00030	276	541	390	568	214	741	654	936	618	1704	1532	1114	287	90	367	7157	1197	1030	579	1123	1357	705	815	449
K00031	5346	4979	3033	4297	2430	4201	3052	2926	2469	5006	6370	6758	3082	2628	2765	10338	8598	5460	4578	2857	2153	2729	9140	4589
K00033	5858	6799	4683	5719	3312	6791	4620	5035	3482	6689	7828	8868	5098	4325	3630	18577	13540	8814	7397	6202	6072	5009	13687	6985
K00034	255	580	600	373	192	462	462	663	257	430	442	195	167	140	81	1828	470	335	917	840	780	491	778	460
K00035	319	132	125	111	40	82	91	58	48	108	373	361	105	36	69	322	479	285	172	43	39	85	436	178
K00036	5911	7054	4066	5944	3099	5509	4963	5078	2666	6854	8982	12608	5633	5501	3676	23443	16250	9937	8424	5601	5314	5178	14904	7927
K00038	437	326	401	233	122	339	260	280	132	267	142	390	369	490	392	842	1055	598	588	294	198	180	972	387
K00039	135	38	13	44	7	22	41	50	33	69	110	126	8	23	30	110	131	71	39	25	24	21	203	90
K00040	327	60	41	134	66	55	79	44	39	133	153	368	5	7	7	266	190	80	165	26	21	40	281	121
K00041	12	5	2	3	2	8	5	7	11	14	30	147	1	2	0	71	198	37	56	5	5	6	13	10
K00042	637	447	251	382	97	212	504	568	447	1508	832	986	236	123	136	4687	1500	1239	966	668	899	446	1368	632
K00043	86	12	3	34	8	16	40	30	18	19	24	53	1	0	0	176	78	51	69	39	24	22	102	49
K00045	1577	1424	588	809	282	484	928	852	195	449	616	1311	1024	684	329	3104	3853	1779	1878	423	279	955	3821	1982
K00046	412	204	71	239	52	131	174	177	51	91	145	76	69	58	38	237	456	249	303	138	87	167	855	543
K00049	1	1	3	3	3	5	4	5	4	184	112	112	0	0	2	563	40	50	4	5	4	1	2	3
K00050	66	26	6	36	7	22	18	10	3	6	26	0	0	1	0	0	1	0	23	15	9	18	51	57
K00052	1679	1746	910	1644	843	1375	1289	1344	1107	3022	2686	2781	1164	1100	1141	8764	5099	3528	2913	1362	1393	1368	3710	1824
K00053	6541	6226	4021	5111	3065	5344	4220	4030	3682	6610	8229	9365	3864	3568	3183	14806	12407	7898	6537	4098	4128	4298	11511	5991
K00054	77	232	435	176	161	273	198	276	431	325	251	115	8	12	30	1589	387	310	171	321	487	169	364	154
K00055	302	155	84	120	28	50	250	202	100	101	120	174	31	18	8	604	765	356	62	137	149	158	492	156
K00057	2498	2180	1106	1955	883	1654	1312	1304	690	3328	3849	5558	2050	1884	1244	9735	8161	4783	2988	1483	1126	1472	5323	2660
K00058	4745	4319	2661	3634	1879	3785	3508	3378	2600	8336	7429	9963	2433	1862	1927	24314	15134	9659	6297	4199	4142	3220	8891	4466
