	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Amino acid metabolism	613527	573913	365739	506740	281030	515583	428105	433697	338171	875364	883427	1091893	401579	344780	329329	2345918	1567775	1018640	786435	499798	504779	440462	1200347	616690
Carbohydrate metabolism	632502	624071	385567	536345	281606	542254	461274	470909	346386	879821	901515	1123937	393350	336462	315009	2583853	1622615	1052875	836173	535286	534411	476489	1327598	684671
Lipid metabolism	179487	163950	101910	146547	77249	149606	126880	127734	94747	261992	254178	340373	137705	110085	107188	763461	542863	345244	246355	147713	149246	129148	353299	176706
Biosynthesis of other secondary metabolites	96053	94284	56241	82073	43282	85438	72395	72150	55096	145026	155744	189535	63963	50304	54665	445768	276098	178015	137884	87295	87906	73406	205152	104547
Glycan biosynthesis and metabolism	124205	122110	70779	111368	56423	122127	89660	93664	65064	206713	235187	286085	95065	78430	80345	664733	392350	243219	187342	116522	108196	94453	264986	136228
Signal transduction	291710	264737	163366	235632	117725	238096	196798	188860	145886	350925	417333	453450	186028	139468	164235	951775	703996	434418	308250	216040	199150	188409	574564	284088
Endocrine system	70966	66965	42783	59035	34564	64098	47566	47803	34397	93180	103216	127448	55357	45189	43843	254639	198578	126258	94594	53983	48192	48768	136639	70011
Cancer: overview	41326	39489	27355	34098	19381	36219	28750	29333	22280	48240	61189	63449	27237	24670	22154	141126	99181	62439	48272	33683	32439	28286	82923	41403
Protein families: signaling and cellular processes	1162619	1057672	649299	938534	471745	986491	785695	786956	597113	1641225	1815575	2070808	711179	551028	620048	4873640	3083660	1940756	1374105	936864	866584	778885	2268409	1150452
Energy metabolism	413721	404960	265296	348716	194915	366547	296232	307365	240615	584429	637213	746858	265036	221163	217099	1590389	1046123	688161	517961	357455	358982	310612	818687	422685
Metabolism of terpenoids and polyketides	101003	96104	64079	83696	52940	97111	71440	73145	55452	138304	157891	184385	82086	63389	62722	390559	276739	175470	141026	86976	84099	73384	197702	100492
Digestive system	28437	25364	16151	22195	12538	23035	18394	17180	13905	37599	37395	46906	17481	13625	13897	100474	76266	47903	30173	20498	20244	19009	49160	25390
Metabolism of other amino acids	173534	169805	106653	150346	79592	151829	128133	129013	98800	250614	253638	306956	121840	97861	96371	696189	453727	294870	226649	152438	153067	130671	358999	182348
Transport and catabolism	40293	36771	20833	29923	14987	33648	25914	25613	19797	53118	53999	66097	26475	22273	22716	152318	110996	71069	46777	30145	29511	25597	77696	38700
Unclassified: metabolism	340857	326671	206720	277543	140691	290452	253581	257550	189954	495088	510335	631941	223274	171148	180072	1512861	972902	621309	463112	303120	304817	252705	725584	373066
Metabolism of cofactors and vitamins	351345	339815	219202	297375	169224	322540	256997	262059	215245	541587	581876	694205	232023	196315	191313	1499898	965996	627905	466422	310489	323204	264636	737642	374974
Xenobiotics biodegradation and metabolism	152350	136912	93451	118063	65431	121219	109706	110812	81629	196654	185257	238791	109324	91171	88954	513162	375862	244321	210063	131160	133097	108052	283240	141467
Protein families: metabolism	633233	605190	368712	577750	289382	622015	451951	466639	350881	1025015	1191296	1301708	471112	360529	399394	3038650	1777790	1134970	847590	580681	544182	461972	1269339	653274
Nucleotide metabolism	217514	205406	134997	180377	101661	197612	147216	152826	122518	303924	342142	382752	134202	113831	114887	822529	534504	344414	261731	183341	180646	156041	424743	219597
Neurodegenerative disease	26989	23750	17949	18742	10854	21587	15897	16833	16748	27817	35162	35500	17546	13774	14117	83193	55001	37356	24128	20731	21914	16328	49363	23560
Infectious disease: bacterial	55048	56841	41183	49202	30760	56684	39941	42542	35058	71303	88158	88666	47570	34183	36556	181435	112635	76071	68126	48803	44376	40714	104254	55912
Protein families: genetic information processing	1368338	1346369	875150	1185948	661208	1280488	948791	980797	799818	1957477	2190796	2572706	908039	765777	751724	5280899	3471274	2240912	1712574	1176944	1145613	1016338	2707076	1421845
Environmental adaptation	36250	33952	22394	29001	16510	32829	22485	23332	18731	42014	47457	48815	24102	18512	20167	112942	80616	51988	40814	27080	22970	22299	67150	33066
Endocrine and metabolic disease	67424	66956	44240	55043	33326	62857	44428	46962	37365	72892	91340	102628	44497	37683	36891	173780	135650	87962	73937	52426	48513	46538	129139	67513
Poorly characterized	253607	241740	159584	211158	108982	224527	186912	192943	151241	393916	422154	518568	166937	138237	132790	1174523	771712	485673	332604	233587	240466	190907	533457	271303
Cell growth and death	119528	117713	77879	105508	57038	115589	80315	85121	67210	151554	196479	188154	80514	65178	70594	398835	260748	166627	141325	104188	92885	85990	227625	117458
Excretory system	7735	7016	4081	5620	3560	6240	4081	4092	3453	9116	10067	12949	4718	4143	4094	20500	17971	12657	7328	3590	3365	4546	13970	7358
Nervous system	33018	35482	24595	30660	18302	31838	24554	25315	20762	37005	42821	47260	24567	21301	18319	94994	69644	45184	41885	29315	28122	27052	68267	34609
Substance dependence	1749	2037	1200	2354	757	2759	1676	1620	1058	2765	2744	2581	2304	1409	1476	13238	5257	3904	4106	2739	1979	1407	3893	2012
Drug resistance: antineoplastic	32111	30025	19045	25259	13682	25624	21289	20743	16220	39061	44621	50201	16850	13905	15661	100285	75870	46123	34027	23166	23047	21600	61868	30870
Cancer: specific types	12004	10113	6844	7871	4311	8112	7912	7906	4928	9892	15118	13757	7589	5601	6571	33639	27110	15924	13978	9139	7983	7308	23902	10856
Cardiovascular disease	18834	17476	12159	13907	7981	16688	12280	12708	10836	18935	25129	22523	12074	8980	10904	49169	33453	20735	19441	15089	13808	12010	34259	16972
