	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Glycine, serine and threonine metabolism	90264	84395	53066	76956	39903	76354	65282	64087	50826	144276	137162	172271	56015	47241	45066	387374	246545	158958	117753	74092	75776	64950	185050	93670
Cysteine and methionine metabolism	93406	93760	62253	80495	46987	87885	65618	68736	55386	131580	139748	157095	67765	56242	56586	354800	225405	145272	117375	80260	78113	68761	182420	94991
Lysine biosynthesis	31751	28758	17754	25847	14546	26260	21902	22292	17057	50569	50793	66440	21523	18515	17574	148236	95927	59967	41042	24607	26177	22451	65787	33317
Butanoate metabolism	84422	78470	51874	68938	38259	71364	60223	60530	47590	117922	107330	143150	55637	46201	42750	307254	211509	138877	104952	70120	70433	59732	162535	82014
Propanoate metabolism	70278	60907	40287	56649	30974	57141	48539	48421	37088	105451	94854	122300	50203	40396	39609	289831	181467	121725	92186	56835	56984	48550	127886	65246
Glycerolipid metabolism	39852	38683	23164	33693	17733	33861	29973	30023	20953	60732	61231	82280	30313	24725	21997	190887	136717	85828	58857	33294	35948	30917	86249	44023
Pentose and glucuronate interconversions	31441	31628	15546	25857	11005	24597	23005	21826	15251	37230	33764	45983	13557	11198	9221	122572	78453	47981	37446	22684	23366	23425	75915	40219
Fructose and mannose metabolism	43173	42203	23794	34272	16798	36049	31933	31667	24536	58825	62141	79582	24225	20669	18104	185337	119745	75174	54221	37089	36903	32441	100878	52119
Inositol phosphate metabolism	25853	28887	17797	25830	13364	23828	21182	21142	14828	32456	32624	39351	17532	15471	13903	95580	59181	38886	39981	23802	24786	23079	64322	34875
Streptomycin biosynthesis	21415	21859	12751	18959	9784	19775	15895	15799	11757	29079	36748	40013	11681	10300	9608	96527	59015	37609	26762	18875	18744	16724	47386	24823
Ascorbate and aldarate metabolism	12113	10816	6490	10185	4188	9582	9257	8788	6135	17534	14534	18489	5793	4495	5134	54141	30878	19724	16129	10732	10487	8639	28050	13452
Amino sugar and nucleotide sugar metabolism	87451	87532	50091	73737	37971	82614	59594	63638	46320	124781	141143	170746	53644	47731	45699	392160	244429	152764	116322	72967	68442	64365	185674	94581
O-Antigen nucleotide sugar biosynthesis	39174	38146	22675	33824	17387	37234	26280	28161	19272	58129	77462	89925	24224	22009	22265	188762	115820	71637	51206	34209	30673	28264	82797	41849
Histidine metabolism	33568	30104	17339	26351	13626	26129	22697	22131	17681	49116	51470	65520	21203	17278	16895	138608	88971	58464	43457	24991	26362	23339	64323	33448
Phenylalanine, tyrosine and tryptophan biosynthesis	43664	40022	25544	35900	20173	36562	29485	29778	23759	66411	75772	93882	30305	25497	25171	193224	129824	83140	58791	34693	35810	31843	88579	45082
Glyoxylate and dicarboxylate metabolism	133137	131938	87207	114359	64645	114794	98101	101193	78301	186470	185854	225845	87275	76344	72641	497629	307178	206108	172677	115744	119897	102946	265915	136580
Glycolysis / Gluconeogenesis	116449	115970	73748	98711	53535	104355	82420	83720	66861	158406	170429	210377	70720	59809	56705	439712	293085	191339	140780	97042	95715	85261	238260	123204
Pyruvate metabolism	133679	124414	80078	108380	59390	113047	94252	94776	74666	184614	186935	236484	83060	69145	65565	515773	340570	226660	163835	108060	111611	95552	259608	132862
HIF-1 signaling pathway	24500	24731	16305	21230	12312	23638	17863	18610	16027	34638	36992	42270	15491	13398	13010	94352	58578	39314	30002	23721	23828	18961	47830	25419
Glucagon signaling pathway	31025	28449	17398	25059	13739	25819	19632	19144	13949	36719	43958	53867	18145	15013	14717	96921	77607	48467	33647	20348	19023	20237	61285	31857
Central carbon metabolism in cancer	27726	26542	16299	23177	12770	23541	18676	18520	13297	32811	37281	45452	17873	15812	14085	92665	67926	42975	31054	20387	19703	18838	54908	28344
Exosome	238782	241025	161497	203321	121884	229595	167131	174092	144956	303388	331314	381928	158885	132137	131710	778487	532858	348623	282924	205606	198609	178042	457940	240731
Methane metabolism	79181	81342	54668	67871	40549	74674	60757	64060	52687	114728	120585	146275	53567	44917	42901	323590	207421	136044	105028	75715	77627	63528	166373	84861
Synthesis and degradation of ketone bodies	29258	25981	17256	22763	12805	23574	18356	17949	15044	34372	33489	44228	18802	15832	15304	77812	66185	42434	29573	20595	20796	19493	50078	25670
Valine, leucine and isoleucine degradation	83935	75557	48770	70967	41227	71068	58002	58628	44169	130994	118285	158873	65658	57030	50408	335094	229186	152898	115363	68028	69492	59861	154860	78508
Terpenoid backbone biosynthesis	59325	54615	36556	47298	29178	52238	37821	38469	31312	74123	81614	99365	39694	32664	31531	182914	145177	91714	66989	44494	43710	40901	109215	56179
AMPK signaling pathway	10863	12339	7967	9705	6374	11744	7526	7638	5796	11412	14166	18010	7946	6395	6713	26392	24676	15889	13282	7034	6108	8124	21948	11588
Bile secretion	983	908	915	784	889	1130	672	530	354	575	1161	1005	742	279	442	2736	3273	1906	1069	561	468	593	1193	614
Citrate cycle (TCA cycle)	81625	77469	48539	67893	35198	68106	56051	55922	43330	114787	114694	146727	49198	41863	41212	313698	202427	134993	99063	62099	60470	56370	156676	81070
Carbon fixation in photosynthetic organisms	59977	59839	39815	50906	29483	57458	43384	45629	37095	82869	94587	110549	39627	31467	30881	230860	149041	99994	73759	56676	58670	46365	118384	61548
Carbon fixation pathways in prokaryotes	96136	91401	59665	81432	45094	86454	66691	68185	57663	141279	141225	172775	65086	54095	53468	399432	242647	166233	116951	80598	81436	69354	178948	92239
Two-component system	250591	228130	139108	205834	99004	208905	172587	165269	126699	312406	420160	405951	164349	120308	147212	888994	619758	381988	270504	194207	177004	163877	501519	246134
PPAR signaling pathway	34876	32968	20534	28595	17403	31635	22595	22810	17362	49575	48278	66063	28347	25394	22149	120981	104927	69215	46523	25377	22971	23713	63741	32510
Glutathione metabolism	48007	46400	28608	40237	20927	41014	33017	33688	24095	55823	71384	84304	34179	26927	25514	164039	117273	73754	56410	40078	39072	33829	98364	48995
Peroxisome	31511	27599	15662	23032	11898	24572	18653	18518	14207	40593	38291	52348	21982	18129	18090	102152	81843	53627	34030	21031	20012	18667	57410	29088
