gene_number	unannotated_number	annotated_unknown_number	annotated_general_number	unannotated_count	annotated_unknown_count	annotated_general_count
2932165	1967630	31456	15719	8222097	162935	90672
3309541	2265296	33386	17085	9124647	153599	88141
2591069	1768041	25349	13262	6602029	101911	57673
3155221	2154551	32835	16680	7660533	134649	76509
2181087	1460828	21510	11249	4379283	69670	39312
3220937	2204772	32387	16431	9448995	147909	76618
2989735	2041545	30957	15694	6614608	120218	66694
2856812	1967112	28617	14703	7308438	124039	68904
2356887	1574917	24908	12558	5600983	99464	51777
3005201	2032141	34493	16972	11510165	252841	141075
3153623	2137843	36194	17587	13552705	276315	145839
2948207	2001011	34675	17012	14921234	324895	193673
1421877	944216	13152	6561	6185099	108584	58353
1594828	1061249	15124	7816	5001187	82798	55439
1437805	964501	13168	6607	5550457	89810	42980
3772713	2623993	43993	20897	31827724	766629	407894
3191203	2190512	37980	18060	20701551	484815	286897
3266829	2233826	38706	18877	13026729	307066	178607
3176022	2155529	33309	16877	11207753	217060	115544
2730940	1874785	27314	13831	8845651	153230	80357
2516577	1713632	25581	13236	8502444	156782	83684
2995143	2057646	30604	15593	6874360	122019	68888
4131760	2858287	42627	20953	18125625	345481	187976
3340404	2297897	34405	17173	9393850	174508	96795
