,sample,total.reads,type,site,landuse,landuse2,urban.natural,urban.arid.nonarid,vegetation_structure,total_abundance,rich.known,Axis01,Axis02,prop.unknown,prop.annotated.unknown,prop.annotated.general
11B.T1.3,11B.T1.3,34582660,pasture-recent,11,pasture,shrubland,natural,arid,grassland,3488163,4693,0.172945457,-0.060613807,0.664063066,0.009249745,0.041039415
11B.T1.6,11B.T1.6,40572243,pasture-recent,11,pasture,shrubland,natural,arid,grassland,2798844,4808,0.245671163,-0.053089386,0.665431633,0.009483154,0.034761742
11B.T1.9,11B.T1.9,29565867,pasture-recent,11,pasture,shrubland,natural,arid,grassland,2878585,4748,0.233151546,-0.080854092,0.670814888,0.009158405,0.029892788
8.T1.3,8.T1.3,30636381,pasture-recent,8,pasture,shrubland,natural,arid,grassland,21881727,5523,-0.511722148,0.022549516,0.695518848,0.011660839,0.108116891
8.T1.6,8.T1.6,25383741,pasture-recent,8,pasture,shrubland,natural,arid,grassland,14000051,5317,-0.35545716,-0.005843414,0.686422017,0.011901468,0.08990246
8.T1.9,8.T1.9,43030262,pasture-recent,8,pasture,shrubland,natural,arid,grassland,8959730,5399,-0.195806673,-0.011708473,0.683790306,0.011848187,0.054672895
Ex45.T1.3,Ex45.T1.3,25773276,pasture-old,Ex45,pasture,shrubland,natural,arid,grassland,3866646,5259,0.118907626,0.0195822,0.68285149,0.010354429,0.022307663
Ex45.T1.6,Ex45.T1.6,29621807,pasture-old,Ex45,pasture,shrubland,natural,arid,grassland,4022881,5261,0.111054926,0.036116783,0.688568936,0.01001711,0.024119193
Ex45.T1.9,Ex45.T1.9,30969203,pasture-old,Ex45,pasture,shrubland,natural,arid,grassland,2966484,5168,0.214149769,0.050792341,0.668219138,0.010568177,0.021968385
HP.T1.3,HP.T1.3,34750121,urban,Himmel Park,urban,urban,urban,urban,grassland,6927431,5448,-0.07895664,0.026385779,0.678688309,0.010487648,0.036380101
HP.T1.6,HP.T1.6,40090458,urban,Himmel Park,urban,urban,urban,urban,grassland,4837613,5263,0.055970373,0.066556021,0.686498056,0.010001684,0.029424667
HP.T1.9,HP.T1.9,33221754,urban,Himmel Park,urban,urban,urban,urban,grassland,4577594,5214,0.061987642,0.081352505,0.680937639,0.010164998,0.033253105
RC.T1.3,RC.T1.3,32280844,natural,Rose Canyon,natural,forest,natural,non-arid,forest,5246251,5269,-0.000344198,-0.048024901,0.671050231,0.010727909,0.030923226
RC.T1.6,RC.T1.6,28096472,natural,Rose Canyon,natural,forest,natural,non-arid,forest,5109032,5322,0.02182251,-0.003495588,0.684474373,0.010087804,0.026632394
RC.T1.9,RC.T1.9,35966883,natural,Rose Canyon,natural,forest,natural,non-arid,forest,3432792,5186,0.169981091,0.048969291,0.682359675,0.009783221,0.022258381
RP.T1.3,RP.T1.3,61105895,urban,Reid Park,urban,urban,urban,urban,grassland,3860935,5219,0.11050686,0.012548904,0.686994244,0.010217876,0.022999904
RP.T1.6,RP.T1.6,40085109,urban,Reid Park,urban,urban,urban,urban,grassland,10731709,5529,-0.246882508,0.041670386,0.691784373,0.010316911,0.045495382
RP.T1.9,RP.T1.9,30496665,urban,Reid Park,urban,urban,urban,urban,grassland,5555618,5377,-0.011137489,-0.00677755,0.687909906,0.010299652,0.028977034
SC.T1.3,SC.T1.3,36113723,natural,Sabino Canyon,natural,desert,natural,arid,shrubland,4502389,5281,0.063417158,-0.007293198,0.682852643,0.010406561,0.024248381
SC.T1.6,SC.T1.6,34693371,natural,Sabino Canyon,natural,desert,natural,arid,shrubland,2352294,5150,0.295095262,-0.000534147,0.669770624,0.009862055,0.01802404
SC.T1.9,SC.T1.9,31519325,natural,Sabino Canyon,natural,desert,natural,arid,shrubland,4785931,5313,0.046855231,0.021320962,0.684512612,0.010055149,0.023787488
UAB.T1.3,UAB.T1.3,26903529,pasture-old,UAB,pasture,shrubland,natural,arid,grassland,7595420,5336,-0.13503962,-0.035027703,0.676208014,0.011477768,0.046943615
UAB.T1.6,UAB.T1.6,60386318,pasture-old,UAB,pasture,shrubland,natural,arid,grassland,8235899,5570,-0.156409532,-0.071292057,0.677900624,0.011476958,0.046244906
UAB.T1.9,UAB.T1.9,34430019,pasture-old,UAB,pasture,shrubland,natural,arid,grassland,9811012,5382,-0.229760645,-0.043290372,0.678721338,0.011761386,0.065691792
