Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
RP-T1-3_k127_2103558	25	30	27	30	4	19	13	22	6	11	16	29	9	10	8	1370	216	259	16	9	27	31	62	29
RP-T1-3_k127_353684	8	8	6	8	1	4	3	6	2	10	10	29	15	2	5	3030	402	523	7	3	0	4	21	12
RP-T1-3_k127_280624	2	3	1	0	0	3	5	2	1	19	5	0	0	9	0	1195	108	0	7	1	1	0	3	4
RP-T1-3_k127_1265795	2	7	5	6	2	3	7	2	26	142	8	18	0	1	0	2193	114	62	10	9	15	8	6	6
RP-T1-3_k127_175146	2	2	2	6	7	21	7	8	16	2	2	0	1	0	1	1301	16	171	4	15	11	2	10	2
RP-T1-3_k127_1759615	0	3	2	0	2	5	4	2	4	3	1	0	0	0	0	1016	8	90	1	1	4	0	2	2
RP-T1-3_k127_1758766	16	15	13	9	13	21	16	13	17	752	456	632	3	9	8	3878	58	218	9	19	13	10	45	15
RP-T1-3_k127_243354	58	92	59	106	36	84	93	96	123	87	41	25	9	24	29	2717	666	627	129	91	187	91	124	52
RP-T1-3_k127_622948	2	7	12	29	7	24	28	19	243	518	123	75	0	1	0	979	165	769	19	34	48	25	17	6
RP-T1-3_k127_647845	7	63	22	29	55	235	35	68	146	17	38	0	3	1	1	2294	22	240	36	86	45	39	118	68
RP-T1-3_k127_1328254	4	1	0	0	0	0	0	0	2	22	1	9	0	0	1	1051	4	14	1	0	0	0	1	0
RP-T1-3_k127_1660831	39	64	21	44	12	44	36	37	45	88	32	129	0	5	3	2431	572	585	31	23	14	38	139	97
RP-T1-3_k127_2099112	8	13	8	14	5	16	16	21	26	22	17	68	1	6	0	2283	445	588	20	49	65	13	21	11
RP-T1-3_k127_932680	2	0	0	0	0	0	0	1	0	20	6	20	0	0	0	1267	113	122	0	1	0	0	0	0
RP-T1-3_k127_779174	22	24	8	14	4	12	14	9	9	12	23	21	3	3	0	840	275	208	15	5	7	10	39	16
RP-T1-6_k127_265696	32	12	3	10	6	6	6	6	5	43	46	59	6	6	1	438	1075	578	9	8	6	10	38	42
RP-T1-6_k127_1963256	28	14	12	5	6	8	4	2	6	228	471	2370	10	10	7	1441	7961	2617	21	3	5	9	24	13
RP-T1-6_k127_168662	40	8	1	15	1	10	3	2	1	478	1603	2392	0	10	7	1581	4324	1831	6	3	0	3	24	14
RP-T1-6_k127_1481604	71	43	24	38	28	44	33	30	33	94	113	148	4	5	4	981	2175	1166	48	47	69	30	94	52
RP-T1-6_k127_910567	72	58	18	36	18	16	9	14	13	85	76	107	22	25	13	192	1004	502	22	17	8	31	108	50
RP-T1-6_k127_1095453	0	1	0	0	0	1	0	0	0	91	84	250	4	0	0	282	1470	699	0	0	0	0	0	0
RP-T1-6_k127_2020785	3	2	1	5	0	1	7	3	5	4	18	22	0	0	0	140	591	218	2	1	0	1	13	4
RP-T1-6_k127_1201713	87	111	41	75	47	84	78	68	62	214	214	349	19	25	31	566	1713	923	100	88	72	70	185	98
RP-T1-6_k127_1732072	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	251	459	321	0	0	0	0	0	0
RP-T1-6_k127_1677154	15	9	5	5	2	7	3	5	0	71	102	267	1	6	2	514	1895	719	8	3	4	0	19	14
RP-T1-6_k127_243432	351	372	173	262	134	271	174	131	92	289	375	748	168	147	120	943	2736	1271	260	137	120	172	563	318
RP-T1-6_k127_1759777	2	7	6	0	0	1	1	2	2	89	106	981	0	1	0	419	1068	573	5	1	2	6	14	4
RP-T1-6_k127_431197	0	2	0	0	0	0	0	0	0	74	57	261	0	0	0	394	1238	508	2	0	0	0	5	4
RP-T1-6_k127_1953393	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	439	1013	322	0	0	0	0	0	1
RP-T1-6_k127_1114521	197	118	40	81	36	66	69	41	36	604	1723	2690	48	60	41	1789	5323	2404	87	42	32	81	250	153
RP-T1-6_k127_487767	39	8	4	11	2	10	20	1	32	231	53	144	5	5	3	184	685	333	70	4	28	5	29	23
RP-T1-6_k127_718646	166	88	100	207	46	118	179	120	53	55	12	59	0	0	0	457	917	407	100	70	27	57	322	123
RP-T1-6_k127_689317	30	33	22	27	5	27	26	19	13	124	162	904	25	21	14	547	1276	686	39	33	18	21	63	34
RP-T1-6_k127_1937782	14	3	3	5	2	6	4	0	3	106	143	600	0	8	2	608	2327	1163	13	6	3	2	11	9
RP-T1-6_k127_1564523	1	1	1	0	0	1	1	2	3	2	6	1	0	0	2	249	891	613	0	0	3	2	1	1
RP-T1-6_k127_879985	47	21	14	16	6	19	9	21	10	50	74	103	4	5	11	206	1135	547	18	16	22	17	40	19
