AMR.Gene.Family	AMRs.in.family	Resistance.Mechanism.in.family	Drug.Class.in.family
1	trimethoprim resistant dihydrofolate reductase dfr	dfrA6 from Proteus mirabilis,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,DfrA36,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,DfrA36,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,dfrC,dfrA6 from Proteus mirabilis,dfrA3b,Trimethoprim-resistant dihydrofolate reductase DfrA42,dfrK,Trimethoprim-resistant dihydrofolate reductase DfrA42,dfrA3,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA43,Trimethoprim-resistant dihydrofolate reductase DfrA42,dfr22,DfrA36,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,DfrA36,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42	antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement	diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic
2	resistance-nodulation-cell division (RND) antibiotic efflux pump	mtrA,rsmA,baeS,oqxB,MuxC,MexA,MexW,mtrD,mdtB,adeC,mdsB,smeB,oqxB,MexW,adeF,adeI,smeE,MexF,MexF,MexI,LpeB,mexM,MexH,MexB,smeS,adeJ,cmeB,mexQ,MexW,ceoA,mdsB,mdsC,oqxB,MexD,adeN,mdsB,smeC,mdsC,acrB,MuxC,mdsB,mtrA,mdtB,amrB,MexD,oqxB,Escherichia coli acrA,smeE,adeN,ArmR,MexE,golS,oqxB,mdsC,MexF,baeS,mdtB,oqxB,cpxA,opmE,MexD,sdiA,smeF,OpmD,acrB,acrD,MexE,LpeB,OprJ,smeF,mexQ,mtrA,adeN,MuxC,mdtC,mexN,MexH,smeS,MexF,MexF,LpeB,mexY,MuxB,smeF,mdtA,golS,adeG,opmE	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	macrolide antibiotic; penam,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,macrolide antibiotic; penam,aminocoumarin antibiotic,glycylcycline; tetracycline antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes,macrolide antibiotic,phenicol antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid,macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; aminoglycoside antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,macrolide antibiotic; penam,aminocoumarin antibiotic,aminoglycoside antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan,aminoglycoside antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,macrolide antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes,macrolide antibiotic; penam,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic,phenicol antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,macrolide antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,aminocoumarin antibiotic,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,fluoroquinolone antibiotic; tetracycline antibiotic,macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes
3	ABC-F ATP-binding cassette ribosomal protection protein	oleB,carA,optrA,tlrC,msrA,msrA,lmrC,srmB,lsa(D),tlrC,carA,carA,msrE,msrH	antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
4	tetracycline inactivation enzyme	tet(55),tet(52),tet(48),tet(55),tet(48),tet(55),tet(52),tet(54)	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
5	fosfomycin thiol transferase	FosB,FosA3,FosB	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	fosfomycin,fosfomycin,fosfomycin
6	non-erm 23S ribosomal RNA methyltransferase (G748)	myrA,chrB,chrB,myrA,myrA,myrA,chrB,emtA,chrB,myrA	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic
7	major facilitator superfamily (MFS) antibiotic efflux pump	Corynebacterium striatum tetA,Klebsiella pneumoniae KpnE,cmlA9,tcr3,mdtO,mdtO,rosB,otr(B),tet(J),mdtO,cmrA,cmlA9,lfrA,efmA,rosA,tet(Y),farB,emrY,Streptomyces lividans cmlR,tet(Y),cmx,farB,rosA,tet(33),efmA,Salmonella enterica cmlA,tet(E),cmrA,cmlB1,tet(C),rosA,tet(41),pmrA,pmrA,tap,tet(30),tetA(58),Rhodococcus fascians cmr,mdtH,bcr-1,pexA,facT,tet(45),mef(B),Rhodococcus fascians cmr,tet(59),farB,tet(D),tet(C),rosA,cmlA4,mdtP,efmA,tet(E),emrA,tet(E)	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	penam; tetracycline antibiotic,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic,phenicol antibiotic,tetracycline antibiotic,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,peptide antibiotic,tetracycline antibiotic,tetracycline antibiotic,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,phenicol antibiotic,phenicol antibiotic,fluoroquinolone antibiotic,macrolide antibiotic; fluoroquinolone antibiotic,peptide antibiotic,tetracycline antibiotic,antibacterial free fatty acids,tetracycline antibiotic,phenicol antibiotic,tetracycline antibiotic,phenicol antibiotic,antibacterial free fatty acids,peptide antibiotic,tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic,phenicol antibiotic,tetracycline antibiotic,phenicol antibiotic,phenicol antibiotic,tetracycline antibiotic,peptide antibiotic,tetracycline antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,phenicol antibiotic,fluoroquinolone antibiotic,bicyclomycin,phenicol antibiotic,elfamycin antibiotic,tetracycline antibiotic,macrolide antibiotic,phenicol antibiotic,tetracycline antibiotic,antibacterial free fatty acids,tetracycline antibiotic,tetracycline antibiotic,peptide antibiotic,phenicol antibiotic,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,macrolide antibiotic; fluoroquinolone antibiotic,tetracycline antibiotic,fluoroquinolone antibiotic,tetracycline antibiotic
8	IND beta-lactamase	IND-6,IND-6,IND-6,IND-6,IND-6	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	carbapenem,carbapenem,carbapenem,carbapenem,carbapenem
9	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	Staphylococcus aureus mupB conferring resistance to mupirocin,Staphylococcus aureus mupA conferring resistance to mupirocin,Staphylococcus aureus mupB conferring resistance to mupirocin	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	mupirocin,mupirocin,mupirocin
10	Erm 23S ribosomal RNA methyltransferase	Erm(42),Erm(37),Erm(44)v,ErmH,ErmO-srmA,Erm(34),Erm(37),erm(32),ErmO-srmA,ErmB,ErmR,ermZ,ErmW,ErmE,Erm(36),ErmN,Erm(K),erm(40),ErmO-srmA,Erm(37)	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
