Lab	SampleID	Date	Crop	pH	EC	Ca	Mg	Na	K	Nitrate	Phosphate	FreeLime	ESP	CEC	id
929824-1	SC-T2-9M	08/19/19	No Crop	7.3	0.05	1000	200	63	150	1.0	16	None	3.7	7.3	SC.T1.9
929824-2	SC-T2-6M	08/19/19	No Crop	6.5	0.06	910	170	16	150	2.1	16	None	1.1	6.4	SC.T1.6
929824-3	SC-T2-3M	08/19/19	No Crop	6.3	0.10	780	120	20	100	2.2	16	None	1.7	5.2	SC.T1.3
929824-4	11B-T2-9M	08/19/19	No Crop	5.6	0.09	630	70	15	190	5.4	21	None	1.5	4.3	11B.T1.9
929824-5	11B-T2-6M	08/19/19	No Crop	6.0	0.08	570	69	12	120	3.6	14	None	1.4	3.8	11B.T1.6
929824-6	11B-T2-3M	08/19/19	No Crop	7.0	0.20	420	74	14	230	5.6	13	None	1.8	3.4	11B.T1.3
929824-7	8-T2-9M	08/19/19	No Crop	6.1	0.16	1300	120	19	350	9.5	35	None	1.0	8.5	8.T1.9
929824-8	8-T2-6M	08/19/19	No Crop	5.8	0.44	1900	130	18	500	31	42	None	0.7	11.9	8.T1.6
929824-9	8-T2-3M	08/19/19	No Crop	5.9	0.11	1200	87	14	210	5.9	31	None	0.8	7.3	8.T1.3
929824-10	UAB-T2-9M	08/19/19	No Crop	6.3	0.06	350	62	16	91	3.3	12	None	2.7	2.6	UAB.T1.9
929824-11	UAB-T2-6M	08/19/19	No Crop	6.4	0.06	360	56	9.9	58	3.3	11	None	1.8	2.5	UAB.T1.6
929824-12	UAB-T2-3M	08/19/19	No Crop	6.7	0.03	400	60	12	50	1.3	10	None	1.9	2.7	UAB.T1.3
929824-13	EX45-T2-9M	08/19/19	No Crop	7.8	0.24	1500	130	12	320	7.2	31	Medium	0.6	9.5	Ex45.T1.9
929824-14	EX45-T2-6M	08/19/19	No Crop	6.5	0.07	480	93	11	130	3.3	16	None	1.3	3.6	Ex45.T1.6
929824-15	EX45-T2-3M	08/19/19	No Crop	6.6	0.11	490	84	11	150	5.0	18	None	1.3	3.6	Ex45.T1.3
929824-16	RC-T2-9M	08/19/19	No Crop	5.0	0.06	1700	100	22	170	1.4	15	None	1.0	9.9	RC.T1.9
929824-17	RC-T2-6M	08/19/19	No Crop	5.4	0.20	2300	220	24	520	18	23	None	0.7	14.8	RC.T1.6
929824-18	RC-T2-3M	08/19/19	No Crop	4.7	0.15	740	73	14	69	14	13	None	1.3	4.5	RC.T1.3
929824-19	HP-T2-9M	08/19/19	No Crop	7.9	7.00	2100	110	2300	140	61	8.9	High	45.9	21.8	HP.T1.9
929824-20	HP-T2-6M	08/19/19	No Crop	8.6	0.34	2300	190	160	200	1.4	14	High	4.9	14.3	HP.T1.6
929824-21	HP-T2-3M	08/19/19	No Crop	7.9	1.40	2000	100	120	130	12	15	High	4.5	11.7	HP.T1.3
929824-22	RP-T2-9M	08/19/19	No Crop	8.5	0.52	1900	170	140	370	14	22	High	4.9	12.5	RP.T1.9
929824-23	RP-T2-6M	08/19/19	No Crop	8.3	0.40	1400	100	160	160	6.8	12	High	7.8	8.9	RP.T1.6
929824-24	RP-T2-3M	08/19/19	No Crop	9.0	1.20	2100	110	610	440	26	16	High	17.5	15.2	RP.T1.3
