Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
HP-T1-6_contig.fa_viral_105	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_106	35	13	5	8	11	15	10	8	5	37	90	50	13	11	2	7	42	31	9	8	12	12	20	18
HP-T1-6_contig.fa_viral_107	95	152	150	153	116	204	107	126	133	191	256	88	50	83	64	232	55	94	133	149	160	120	151	102
HP-T1-6_contig.fa_viral_108	2	1	0	0	0	1	0	0	1	59	137	94	0	0	0	9	33	21	0	0	0	0	10	6
HP-T1-6_contig.fa_viral_109	0	0	0	0	0	0	0	0	1	0	123	24	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_110	0	0	0	0	0	0	1	1	0	0	113	0	0	0	0	0	0	0	4	2	2	0	8	0
HP-T1-6_contig.fa_viral_111	0	3	0	0	0	20	2	4	21	8	68	11	0	0	0	20	0	5	9	2	5	1	4	1
HP-T1-6_contig.fa_viral_112	0	0	1	0	0	2	0	1	0	0	107	1	0	0	1	0	1	0	1	0	0	1	1	2
HP-T1-6_contig.fa_viral_113	0	0	0	0	0	0	0	0	2	31	98	19	0	0	0	11	1	1	0	0	3	0	0	0
HP-T1-6_contig.fa_viral_115	0	0	0	0	0	0	0	0	0	1	244	671	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_116	0	0	0	0	0	0	0	0	0	0	99	6	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_117	0	0	0	0	0	0	0	0	18	57	126	8	0	0	0	102	0	7	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_118	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_119	91	54	12	44	10	31	18	15	7	82	185	268	10	23	18	177	508	246	34	12	7	13	97	62
HP-T1-6_contig.fa_viral_120	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_121	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	1	0	1	0	0	0	0	0	1
HP-T1-6_contig.fa_viral_122	0	2	3	2	0	2	3	13	11	95	107	119	0	0	0	377	14	44	5	3	9	4	3	1
HP-T1-6_contig.fa_viral_123	0	0	0	0	0	0	0	1	0	0	622	3	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_124	0	0	0	0	0	0	0	0	0	0	147	1	0	1	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_125	0	0	0	0	0	0	0	0	0	0	105	1	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_126	3	5	4	2	3	11	3	2	12	118	150	30	0	0	0	231	20	30	2	5	4	5	8	5
HP-T1-6_contig.fa_viral_127	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_contig.fa_viral_128	1	0	0	0	0	0	0	0	2	0	94	0	0	0	0	0	0	0	0	0	0	0	3	0
HP-T1-6_contig.fa_viral_129	0	0	0	0	0	0	1	0	0	10	92	35	0	0	0	1	0	0	0	1	0	0	0	0
HP-T1-6_contig.fa_viral_130	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0
