Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	./11B-T1-3.contigs.fa_k127_157413	732	1133	+	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	134	231	58.01	92.54	134	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_327128	1	639	+	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTX	213	231	92.21	91.08	213	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_419884	2	370	-	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	123	231	53.25	92.68	123	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_482543	2	376	+	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	125	231	54.11	90.40	125	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_5088	165	818	+	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTX	218	231	94.37	92.20	218	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_52665	2	427	-	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	142	231	61.47	93.66	142	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_564244	1	429	-	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	143	231	61.90	90.21	143	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_694714	2	538	-	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	179	231	77.49	91.62	179	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
NA	./11B-T1-3.contigs.fa_k127_762185	1	354	+	vanR-O	vancomycin resistance response regulator transcription factor VanR-O	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	118	233	50.64	91.53	118	WP_063856729.1	vancomycin resistance response regulator transcription factor VanR-O	NA	NA
NA	./11B-T1-3.contigs.fa_k127_814937	2	520	+	vanR	vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	INTERNAL_STOP	173	231	74.89	92.49	173	WP_011029105.1	vancomycin resistance response regulator transcription factor VanR-Sc	NA	NA
