	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
11B-T1-3_contig.fa_viral_10__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_10__full-cat_2	1	1	213	-1	E																								0	2	5	False	F
11B-T1-3_contig.fa_viral_10__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_10__full-cat_2	2	305	766	-1	C	K04080	molecular chaperone IbpA	YP_004323305.1	YP_004323305.1 Hsp20 heat shock protein [Prochlorococcus phage P-RSM4]	False	0.425	103.0	1.272e-24								Hsp20/alpha crystallin family [PF00011.24]					VOG07707	sp|P70918|HSPB_BRADU Small heat shock protein HspB; Xh	Xh	0	1	4	False	F
11B-T1-3_contig.fa_viral_10__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_10__full-cat_2	3	1141	2181	-1	E																								0	2	5	False	F
11B-T1-3_contig.fa_viral_14__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_14__full-cat_2	1	1	114	1	E																								0	2	5	False	F
11B-T1-3_contig.fa_viral_14__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_14__full-cat_2	2	487	1245	-1	E																								0	2	4	False	F
11B-T1-3_contig.fa_viral_14__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_14__full-cat_2	3	1242	1586	-1	E																								0	2	4	False	F
11B-T1-3_contig.fa_viral_14__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_14__full-cat_2	4	1723	2823	-1	E																								0	1	5	False	F
11B-T1-3_contig.fa_viral_15__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_15__full-cat_2	1	1	657	1	E																								0	2	5	False	TF
11B-T1-3_contig.fa_viral_15__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_15__full-cat_2	2	789	1625	1	D			YP_009830706.1	YP_009830706.1 tyrosine-type recombinase/integrase [Bacillus phage vB_BtS_BMBtp14]	False	0.306	121.0	4.901e-29								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]; Phage integrase SAM-like domain [PF13102.9]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	1	5	True	VTF
11B-T1-3_contig.fa_viral_8__full-cat_1_1	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_8__full-cat_1	1	3	512	1	E																								0	2	5	False	F
11B-T1-3_contig.fa_viral_8__full-cat_1_2	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_8__full-cat_1	2	647	2743	1	C	K16568	exopolysaccharide production protein ExoZ	YP_009276557.1	YP_009276557.1 O-antigen acetylase [Gordonia phage BritBrat]	False	0.299	304.0	1.298e-85								Acyltransferase family [PF01757.25]; SGNH domain (fused to AT3 domains) [PF19040.3]					VOG00121	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase; Xh	Xh	0	0	4	False	F
11B-T1-3_contig.fa_viral_8__full-cat_1_3	final-viral-combined-for-dramv	11B-T1-3_contig.fa_viral_8__full-cat_1	3	2864	3139	1	D																Carbohydrate-binding module 48 (Isoamylase N-terminal domain) [PF02922.21]; Glycogen recognition site of AMP-activated protein kinase [PF16561.8]								0	2	5	False	F
11B-T1-6_contig.fa_provirus_1__full-cat_1_1	final-viral-combined-for-dramv	11B-T1-6_contig.fa_provirus_1__full-cat_1	1	85	570	-1	E																								0	2	5	False	F
11B-T1-6_contig.fa_provirus_1__full-cat_1_2	final-viral-combined-for-dramv	11B-T1-6_contig.fa_provirus_1__full-cat_1	2	619	2850	-1	E			YP_004061482.1	YP_004061482.1 hypothetical protein BpV1_052 [Bathycoccus sp. RCC1105 virus BpV1]	False	0.202	87.0	3.319e-16																0	0	5	False	F
11B-T1-6_contig.fa_viral_12__full-cat_1_1	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_12__full-cat_1	1	2	3067	-1	E																								0	0	5	False	F
