AMR.Gene.Family	AMRs.in.family	Resistance.Mechanism.in.family	Drug.Class.in.family
1	16S rRNA methyltransferase (G1405)	rmtD	antibiotic target alteration	aminoglycoside antibiotic
2	intrinsic colistin resistant phosphoethanolamine transferase	ICR-Mo	antibiotic target alteration	peptide antibiotic
3	vanY; glycopeptide resistance gene cluster	vanYB,vanYG1	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
4	major facilitator superfamily (MFS) antibiotic efflux pump	tet(30),blt,cmlA9,tet(D),tet(43),mdtP,tet(33),tet(Y),mdtO,tet(E),tet(30),mdtM,tetA(P),mdtM,Acinetobacter baumannii AbaQ,tet(Z)	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	tetracycline antibiotic,fluoroquinolone antibiotic; acridine dye; disinfecting agents and intercalating dyes,phenicol antibiotic,tetracycline antibiotic,tetracycline antibiotic,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,tetracycline antibiotic,tetracycline antibiotic,nucleoside antibiotic; acridine dye; disinfecting agents and intercalating dyes,tetracycline antibiotic,tetracycline antibiotic,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,tetracycline antibiotic,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic,tetracycline antibiotic
5	ABC-F ATP-binding cassette ribosomal protection protein	oleB,carA,oleB,vgaC,carA,poxtA,carA	antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
6	TEM beta-lactamase	TEM-102,TEM-60	antibiotic inactivation,antibiotic inactivation	monobactam; cephalosporin; penam; penem,monobactam; cephalosporin; penam; penem
7	OXA beta-lactamase	OXA-273,OXA-273,OXA-192,OXA-446,OXA-57,OXA-198,OXA-36,OXA-55,OXA-411,OXA-114a,OXA-198,OXA-20,OXA-459,OXA-443,OXA-57	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam
8	trimethoprim resistant dihydrofolate reductase dfr	Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,Trimethoprim-resistant dihydrofolate reductase DfrA42,DfrA36,Trimethoprim-resistant dihydrofolate reductase DfrA42	antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement,antibiotic target replacement	diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic
9	NmcA beta-lactamase	NmcR	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam
10	CphA beta-lactamase	cphA2	antibiotic inactivation	carbapenem
11	ATP-binding cassette (ABC) antibiotic efflux pump	LptD,LptD,tetA(46),tet(35),abcA,LptD	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,tetracycline antibiotic,tetracycline antibiotic,cephalosporin; penam; peptide antibiotic,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic
12	OCH beta-lactamase	OCH-5	antibiotic inactivation	monobactam; cephalosporin; cephamycin; penam; penem
13	vanW; glycopeptide resistance gene cluster	vanWI	antibiotic target alteration	glycopeptide antibiotic
14	multidrug and toxic compound extrusion (MATE) transporter	abeM	antibiotic efflux	fluoroquinolone antibiotic; acridine dye; triclosan; disinfecting agents and intercalating dyes
15	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrD,mexY,adeF,AxyY,acrB,adeB,mexN,oqxB,ceoB,MexB,mexY,oqxB,adeN,ArmR,mtrE,adeF,smeC,MexI,acrB	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	aminoglycoside antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan,glycylcycline; tetracycline antibiotic,phenicol antibiotic,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,fluoroquinolone antibiotic; aminoglycoside antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,macrolide antibiotic; penam,fluoroquinolone antibiotic; tetracycline antibiotic,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan
16	SHV beta-lactamase	SHV-218	antibiotic inactivation	carbapenem; cephalosporin; penam
17	streptothricin acetyltransferase (SAT)	sta	antibiotic inactivation	nucleoside antibiotic
18	chloramphenicol acetyltransferase (CAT)	plasmid-encoded cat (pp-cat),Agrobacterium fabrum chloramphenicol acetyltransferase,catA4,Bacillus clausii chloramphenicol acetyltransferase	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	phenicol antibiotic,phenicol antibiotic,phenicol antibiotic,phenicol antibiotic
19	Erm 23S ribosomal RNA methyltransferase	Erm(36),Erm(39),ErmS,ErmW,erm(32),ErmF	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
20	AER beta-lactamase	AER-1	antibiotic inactivation	penam
21	non-erm 23S ribosomal RNA methyltransferase (G748)	chrB	antibiotic target alteration	macrolide antibiotic; lincosamide antibiotic
22	loose hit with at least 95 percent identity pushed strict	AAC(6)-IIb	100.0	3002595	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),AAC(6)-Ib-cr6	100.0	3005116	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation	AAC(6)-Ib-cr,AAC(6)-Ib-cr8	100.0	3005118	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation	AAC(6)-Ib-cr,AAC(6)-Iy	100.0	3002569	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),AAC(6)-IIa	100.0	3002594	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6)	True,True,True,True,True	140,3843,3845,360,1657
23	Fom phosphotransferase family	FomB	antibiotic inactivation	fosfomycin
24	macrolide phosphotransferase (MPH)	mphC,mphK,mphI	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic
25	streptogramin vat acetyltransferase	vatB	antibiotic inactivation	streptogramin antibiotic
26	fosfomycin thiol transferase	FosA7	antibiotic inactivation	fosfomycin
27	IMP beta-lactamase	IMP-7	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam; penem
