contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
HP-T1-6_contig.fa_viral_105	2461	No	NA	4	0	0	Low-quality	Genome-fragment	2.0	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_106	1589	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_107	1549	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_108	1844	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_109	2900	No	NA	6	2	0	Low-quality	Genome-fragment	5.7	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_110	2129	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_111	1905	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_112	1930	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_113	1523	No	NA	1	0	0	Low-quality	Genome-fragment	2.88	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_115	2137	No	NA	4	0	0	Low-quality	Genome-fragment	0.23	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_116	1982	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_117	1742	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_118	2233	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_119	2226	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_120	1760	No	NA	3	0	0	Low-quality	Genome-fragment	3.61	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_121	1931	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_122	1951	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_123	4434	No	NA	6	1	0	Low-quality	Genome-fragment	2.98	HMM-based (lower-bound)	0.0	1.02	low-confidence DTR
HP-T1-6_contig.fa_viral_124	3322	No	NA	4	2	0	Low-quality	Genome-fragment	7.73	AAI-based (high-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_125	1655	No	NA	3	0	0	Low-quality	Genome-fragment	0.96	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_126	1745	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_127	1632	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_128	1811	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_129	1642	No	NA	2	0	0	Low-quality	Genome-fragment	1.1	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_130	1846	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_131	1920	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_132	1555	No	NA	1	0	0	Low-quality	Genome-fragment	1.14	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_133	1510	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_134	1952	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_135	1675	No	NA	2	1	0	Low-quality	Genome-fragment	1.92	AAI-based (medium-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_136	1584	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_137	14116	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_138	2391	No	NA	8	1	0	Low-quality	Genome-fragment	4.52	AAI-based (medium-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_139	1656	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_140	2383	No	NA	5	2	0	Low-quality	Genome-fragment	3.09	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_141	2052	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_142	2208	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_143	4388	No	NA	9	2	0	Low-quality	Genome-fragment	9.12	AAI-based (medium-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_144	2085	No	NA	5	3	0	Low-quality	Genome-fragment	2.72	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_145	1522	No	NA	1	0	0	Low-quality	Genome-fragment	1.23	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_146	1783	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_147	4923	No	NA	6	2	0	Low-quality	Genome-fragment	9.88	AAI-based (high-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_148	3498	No	NA	5	3	0	Low-quality	Genome-fragment	5.29	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_149	2072	No	NA	3	0	0	Low-quality	Genome-fragment	3.29	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_150	2085	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_151	2265	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_152	2994	No	NA	4	1	0	Low-quality	Genome-fragment	5.53	AAI-based (medium-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_153	1686	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_154	3331	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_155	2371	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_156	1514	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_157	1965	No	NA	3	1	0	Low-quality	Genome-fragment	0.8	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_158	1935	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_159	4914	No	NA	9	2	0	Low-quality	Genome-fragment	6.22	AAI-based (medium-confidence)	0.0	1.0	
HP-T1-6_contig.fa_viral_160	2439	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
HP-T1-6_contig.fa_viral_161	1522	No	NA	4	1	2	Low-quality	Genome-fragment	0.6	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_162	2623	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_163	11101	No	NA	15	8	0	Low-quality	Genome-fragment	17.37	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_164	1802	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_165	2164	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_166	1640	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_167	1636	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_168	2967	No	NA	5	3	0	Low-quality	Genome-fragment	3.75	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_169	1520	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_170	2277	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_171	2301	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_172	2478	No	NA	7	4	0	Low-quality	Genome-fragment	4.35	HMM-based (lower-bound)	0.0	1.0	
HP-T1-6_contig.fa_viral_173	1640	No	NA	3	0	0	Low-quality	Genome-fragment	0.84	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
HP-T1-6_contig.fa_viral_174	4267	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
HP-T1-6_contig.fa_viral_175	4376	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_4	1748	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_5	2026	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_6	1583	No	NA	1	0	0	Low-quality	Genome-fragment	2.84	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_7	1557	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
SC-T1-6_contig.fa_viral_8	2276	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_9	1514	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_10	1520	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_11	1645	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_12	2162	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_13	1569	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_14	2395	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_15	2366	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_16	2982	No	NA	3	0	0	Low-quality	Genome-fragment	2.16	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_17	1540	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_19	2028	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
