kegg_id,target_name,target_accession,query_name,query_accession,e_value,score,bias,best_domain_e_value,best_domain_score,best_domain_bias
K06147,SC-T1-3_k127_730379_1,-,K06147,-,1.8e-166,553.4,24.5,2.4e-166,553.0,24.5
K06147,SC-T1-3_k127_216863_12,-,K06147,-,2.4e-119,397.6,29.1,2.6e-119,397.5,29.1
K06147,SC-T1-3_k127_216863_11,-,K06147,-,7.8e-116,386.0,35.2,1e-115,385.7,35.2
K06147,SC-T1-3_k127_1105723_1,-,K06147,-,5.4e-112,373.3,28.3,6.4e-112,373.1,28.3
K06147,SC-T1-3_k127_1105723_2,-,K06147,-,2.1e-104,348.2,30.3,2.4e-104,348.0,30.3
K06147,RP-T1-3_k127_1758766_3,-,K06147,-,1.8e-87,292.2,26.0,4.8e-47,158.5,12.4
K06147,SC-T1-3_k127_213245_11,-,K06147,-,2.5e-75,252.1,23.9,2.1e-41,139.9,9.0
K06147,RP-T1-3_k127_175146_10,-,K06147,-,5.9e-65,217.8,20.8,1.1e-64,216.9,20.8
K06147,UAB-T1-9_k127_120282_3,-,K06147,-,2.9e-62,208.9,18.3,1.4e-34,117.4,5.6
K06147,11B-T1-3_k127_968458_14,-,K06147,-,1.4e-58,196.6,5.2,1.8e-58,196.3,5.2
K06147,SC-T1-3_k127_1022113_7,-,K06147,-,5.9e-56,188.0,0.5,7.5e-56,187.7,0.5
K06147,HP-T1-6_k127_50417_1,-,K06147,-,9.9e-52,174.0,0.1,1.2e-51,173.7,0.1
K06147,11B-T1-3_k127_285612_10,-,K06147,-,4e-51,172.0,0.7,4.5e-51,171.9,0.7
K06147,11B-T1-3_k127_390147_7,-,K06147,-,3.4e-50,169.0,0.3,3.6e-50,168.9,0.3
K06147,RP-T1-6_k127_243432_2,-,K06147,-,3.5e-48,162.3,13.9,4.2e-48,162.1,13.9
K06147,HP-T1-9_k127_916697_7,-,K06147,-,1.2e-47,160.5,5.4,3.4e-47,159.0,5.4
K06147,RC-T1-9_k127_675902_13,-,K06147,-,8.8e-45,151.1,13.1,2.8e-25,86.6,5.8
K06147,SC-T1-3_k127_163043_5,-,K06147,-,5.6e-44,148.4,3.5,7.1e-44,148.1,3.5
K06147,RC-T1-9_k127_777842_6,-,K06147,-,8.3e-44,147.8,0.7,1.1e-43,147.5,0.7
K06147,HP-T1-9_k127_916697_6,-,K06147,-,2.9e-41,139.4,2.9,3.4e-41,139.2,2.9
K06147,8-T1-6_k127_292798_7,-,K06147,-,2.6e-36,123.1,10.7,3.2e-36,122.8,10.7
