ko,source,metabolism,path,description
K00844,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00844  HK; hexokinase [EC:2.7.1.1]
K12407,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K12407  GCK; glucokinase [EC:2.7.1.2]
K00845,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00845  glk; glucokinase [EC:2.7.1.2]
K01810,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
K06859,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K06859  pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K13810,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13810  tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K15916,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K15916  pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K24182,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K24182  PFK9; 6-phosphofructokinase [EC:2.7.1.11]
K00850,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00850  pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
K16370,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K16370  pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K21071,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K21071  pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
K00918,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00918  pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K00895,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00895  pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
K03841,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K03841  FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
